SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,39,,良好,2.5,0.33,16,38,13,11,1.4,156,1,14.08,2.65,2016-06-06 23:00
關山,臺東縣,11,,良好,0.9,,13,12,6,3.5,1.1,83,1,4.82,1.28,2016-06-06 23:00
馬公,澎湖縣,19,,良好,8.2,0.33,23,13,10,13,0.9,178,2,15.78,3,2016-06-06 23:00
金門,金門縣,19,,良好,3.5,0.16,23,10,1,7.8,0.7,162,1,8.31,.48,2016-06-06 23:00
馬祖,連江縣,47,,良好,2.7,0.21,56,36,13,4.6,1.8,54,2,5.19,.56,2016-06-06 23:00
埔里,南投縣,21,,良好,3.1,0.27,4.8,21,11,9,1.4,195,1,11.35,2.4,2016-06-06 23:00
復興,高雄市,25,,良好,3.3,0.79,6.9,24,7,20,0.9,128,1,24.94,4.92,2016-06-06 23:00
永和,新北市,29,,良好,2.7,1.59,1.3,40,18,26,0.9,140,2,54.5,28.05,2016-06-06 23:00
竹山,南投縣,17,,良好,3.4,0.29,3.7,25,4,10,0.6,191,1,13.13,2.99,2016-06-06 23:00
中壢,桃園市,54,懸浮微粒,普通,3.3,0.93,9.6,65,23,29,1,189,2,37.79,8.74,2016-06-06 23:00
三重,新北市,51,懸浮微粒,普通,11,1.53,,69,30,35,,,2,116.96,82.15,2016-06-06 23:00
冬山,宜蘭縣,25,,良好,1.9,0.81,5.3,24,8,12,0.9,207,1,14.62,2.93,2016-06-06 23:00
宜蘭,宜蘭縣,25,,良好,2.4,0.29,26,25,11,6.9,0.6,225,1,7.37,.48,2016-06-06 23:00
花蓮,花蓮縣,22,,良好,2.2,0.37,9.2,26,14,10,1.9,222,2,13.12,2.65,2016-06-06 23:00
臺東,臺東縣,13,,良好,1.3,0.24,15,11,4,6.4,1.2,298,1,7.56,1.17,2016-06-06 23:00
恆春,屏東縣,18,,良好,2.4,0.11,17,15,3,7.3,1.2,21,1,9.37,2.04,2016-06-06 23:00
潮州,屏東縣,36,,良好,1.3,0.08,8.5,39,14,3,0.8,55,1,4.29,1.25,2016-06-06 23:00
屏東,屏東縣,28,,良好,0.7,0.47,8.1,30,22,12,1.3,321,2,15.18,2.69,2016-06-06 23:00
小港,高雄市,32,,良好,7.6,0.38,6.8,21,8,20,1.2,43,1,22.1,2.33,2016-06-06 23:00
前鎮,高雄市,15,,良好,4,0.45,7.9,11,12,18,0.9,51,1,20.39,2.86,2016-06-06 23:00
前金,高雄市,17,,良好,1.9,0.25,21,13,,5.5,1.8,325,1,6.05,.57,2016-06-06 23:00
左營,高雄市,24,,良好,2,0.16,20,22,0,6.7,0.9,42,1,6.95,.27,2016-06-06 23:00
楠梓,高雄市,45,,良好,2.2,0.38,2.6,49,5,18,1.4,53,1,21.5,3.48,2016-06-06 23:00
林園,高雄市,18,,良好,2.2,0.21,14,23,11,9.4,0.7,49,1,10.22,.85,2016-06-06 23:00
大寮,高雄市,33,,良好,2.6,0.31,5.9,39,13,13,0.6,355,2,15.58,2.15,2016-06-06 23:00
鳳山,高雄市,45,,良好,1.9,0.47,8.1,41,7,17,1.3,51,1,19,1.62,2016-06-06 23:00
仁武,高雄市,37,,良好,12,0.37,4.3,44,5,19,1,101,1,21.59,2.92,2016-06-06 23:00
橋頭,高雄市,24,,良好,3,0.35,4,25,9,17,1.9,98,1,20.96,4.17,2016-06-06 23:00
美濃,高雄市,23,,良好,1.3,0.2,7.2,26,5,3.4,1.1,51,1,5.39,2.03,2016-06-06 23:00
臺南,臺南市,19,,良好,1.8,0.16,22,9,12,5.9,1.7,260,2,7.47,1.55,2016-06-06 23:00
安南,臺南市,24,,良好,3.1,0.32,10,30,5,14,0.7,41,1,15.76,1.52,2016-06-06 23:00
善化,臺南市,33,,良好,3.2,0.22,7.1,40,14,8.7,0.7,0.2,2,9.8,1.07,2016-06-06 23:00
新營,臺南市,27,,良好,1.4,0.22,8.6,30,15,8.8,0.9,171,2,10.34,1.59,2016-06-06 23:00
嘉義,嘉義市,31,,良好,2.6,0.25,9.4,32,13,8.1,0.8,191,1,8.77,.67,2016-06-06 23:00
臺西,雲林縣,26,,良好,2.5,0.25,14,33,6,8.9,1.6,151,1,9.45,.52,2016-06-06 23:00
朴子,嘉義縣,39,,良好,3.2,0.29,11,43,12,19,1.7,135,1,19.79,1.17,2016-06-06 23:00
新港,嘉義縣,41,,良好,2.5,0.42,5.8,59,12,21,1.1,149,1,22.71,2.08,2016-06-06 23:00
崙背,雲林縣,24,,良好,2.3,0.26,14,21,13,9.7,1.1,100,2,9.82,.15,2016-06-06 23:00
斗六,雲林縣,23,,良好,1.9,0.33,14,30,13,16,1.4,120,1,16,.39,2016-06-06 23:00
南投,南投縣,23,,良好,3.5,0.3,2.7,25,9,9.5,1,157,1,12.49,3.01,2016-06-06 23:00
二林,彰化縣,17,,良好,3.6,0.4,5.7,30,21,11,1,73,,11.92,1.28,2016-06-06 23:00
線西,彰化縣,35,,良好,4.5,0.89,2.6,49,26,26,0.6,114,2,36.32,9.83,2016-06-06 23:00
彰化,彰化縣,27,,良好,11,0.7,3.5,39,12,21,0.6,119,1,23.56,2.4,2016-06-06 23:00
西屯,臺中市,42,,良好,4.3,0.57,3,37,19,22,0.8,211,2,41.87,20.17,2016-06-06 23:00
忠明,臺中市,30,,良好,2.3,0.7,2,33,14,21,1,170,2,29.07,8.45,2016-06-06 23:00
大里,臺中市,52,懸浮微粒,普通,2.1,0.61,3.2,51,9,14,1.5,110,2,21.93,8.02,2016-06-06 23:00
沙鹿,臺中市,28,,良好,5.2,0.6,1.6,37,10,25,1,198,2,33.31,8.79,2016-06-06 23:00
豐原,臺中市,13,,良好,2.2,0.17,7.9,11,16,5.2,2.3,118,2,5.64,.43,2016-06-06 23:00
三義,苗栗縣,20,,良好,2.3,0.21,7.5,20,4,9,0.8,200,1,11.88,2.89,2016-06-06 23:00
苗栗,苗栗縣,30,,良好,1.8,0.37,1.8,37,6,15,1,189,2,17.43,2.83,2016-06-06 23:00
頭份,苗栗縣,25,,良好,2.9,0.42,8.3,31,15,18,1.7,129,2,20.16,1.74,2016-06-06 23:00
新竹,新竹市,29,,良好,2.7,0.53,27,31,13,18,1,96,1,18.5,.75,2016-06-06 23:00
竹東,新竹縣,26,,良好,2.4,0.29,6.4,33,7,9.1,1.8,139,1,11.82,2.75,2016-06-06 23:00
湖口,新竹縣,31,,良好,1.8,0.45,6.7,37,22,27,1,137,2,28.63,1.87,2016-06-06 23:00
龍潭,桃園市,39,,良好,1.6,0.35,11,46,12,16,1.1,157,2,17.72,1.94,2016-06-06 23:00
平鎮,桃園市,46,,良好,2.6,0.39,16,49,22,25,0.6,231,2,26.18,1.47,2016-06-06 23:00
觀音,桃園市,44,,良好,2.6,0.26,42,50,25,7,0.5,150,2,7.5,.47,2016-06-06 23:00
